Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Product,Spreadsheet: Question,Spreadsheet: Discount 1,Spreadsheet: Discount 2,Spreadsheet: Discount 3,Spreadsheet: Discount 4,Spreadsheet: correct,Spreadsheet: rand_flag,Manipulation: Spreadsheet,branch-8m3o
﻿1,1746992751690,"11/05/2025, 19:45:51",1746974751690,-5,"11/05/2025, 09:45:51",226813,7,task-fsrg,,46069857,13397659,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,2560x1440,2560x1294,,Discount Framing Task,6,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,,,,,,,,,consent
2,1746992785545,"11/05/2025, 19:46:25",1746974785545,-5,"11/05/2025, 09:46:25",226813,7,task-fsrg,,46069857,13397659,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,2560x1440,2560x1294,,Discount Framing Task,6,Spreadsheet1,1,Instructions,Screen 1,xanaqs,1,continue,,36764.80000001192,36748.4,36764.80000001192,36764.80000001192,36748.4,36764.80000001192,1,0,0,,Click To Continue,Continue Button,2,object-4,Instructions,,,,,,,,,,consent
3,1746992798626,"11/05/2025, 19:46:38",1746974798626,-5,"11/05/2025, 09:46:38",226813,7,task-fsrg,,46069857,13397659,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,2560x1440,2560x1294,,Discount Framing Task,6,Spreadsheet1,1,Practice Trial,Screen 2,5afp8p,1,continue,,13097.799999999996,13082.099999999999,13097.799999999996,13097.799999999996,13082.099999999999,13097.799999999996,1,0,0,,Click To Continue,Continue Button,2,object-102,Practice Trial,presentbox.jpg,You need to buy 2 of the same product. Which of the following products do you prefer to buy?,$10 (Deal: buy 1 get 1 30% off),$10 (Deal: $3 off),$10 (Deal: 10% off),$10 (Deal: now $8),,,,consent
4,1746992822826,"11/05/2025, 19:47:02",1746974822826,-5,"11/05/2025, 09:47:02",226813,7,task-fsrg,,46069857,13397659,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,2560x1440,2560x1294,,Discount Framing Task,6,Spreadsheet1,1,Practice Trial,Screen 1,aokijm,2,response,$10 (Deal: $3 off),24215,24199.699999999997,24215,24215,24199.699999999997,24215,1,0,0,,Trigger - Response,Option 2,7,object-306,Practice Trial,presentbox.jpg,You need to buy 2 of the same product. Which of the following products do you prefer to buy?,$10 (Deal: buy 1 get 1 30% off),$10 (Deal: $3 off),$10 (Deal: 10% off),$10 (Deal: now $8),,,,consent
5,1746992822827,"11/05/2025, 19:47:02",1746974822827,-5,"11/05/2025, 09:47:02",226813,7,task-fsrg,,46069857,13397659,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,2560x1440,2560x1294,,Discount Framing Task,6,Spreadsheet1,1,Practice Trial,Screen 1,aokijm,2,action,Image,24216.29999999999,24199.699999999997,24216.29999999999,24216.29999999999,24199.699999999997,24216.29999999999,1,0,0,,Mousetracking,screen,0,screen,Practice Trial,presentbox.jpg,You need to buy 2 of the same product. Which of the following products do you prefer to buy?,$10 (Deal: buy 1 get 1 30% off),$10 (Deal: $3 off),$10 (Deal: 10% off),$10 (Deal: now $8),,,,consent
6,1746992822827,"11/05/2025, 19:47:02",1746974822827,-5,"11/05/2025, 09:47:02",226813,7,task-fsrg,,46069857,13397659,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,2560x1440,2560x1294,,Discount Framing Task,6,Spreadsheet1,1,Practice Trial,Screen 1,aokijm,2,action,Question,24216.29999999999,24199.699999999997,24216.29999999999,24216.29999999999,24199.699999999997,24216.29999999999,1,0,0,,Mousetracking,screen,0,screen,Practice Trial,presentbox.jpg,You need to buy 2 of the same product. Which of the following products do you prefer to buy?,$10 (Deal: buy 1 get 1 30% off),$10 (Deal: $3 off),$10 (Deal: 10% off),$10 (Deal: now $8),,,,consent
7,1746992822827,"11/05/2025, 19:47:02",1746974822827,-5,"11/05/2025, 09:47:02",226813,7,task-fsrg,,46069857,13397659,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,2560x1440,2560x1294,,Discount Framing Task,6,Spreadsheet1,1,Practice Trial,Screen 1,aokijm,2,action,Option 1,24216.29999999999,24199.699999999997,24216.29999999999,24216.29999999999,24199.699999999997,24216.29999999999,1,0,0,,Mousetracking,screen,0,screen,Practice Trial,presentbox.jpg,You need to buy 2 of the same product. Which of the following products do you prefer to buy?,$10 (Deal: buy 1 get 1 30% off),$10 (Deal: $3 off),$10 (Deal: 10% off),$10 (Deal: now $8),,,,consent
8,1746992822828,"11/05/2025, 19:47:02",1746974822828,-5,"11/05/2025, 09:47:02",226813,7,task-fsrg,,46069857,13397659,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,2560x1440,2560x1294,,Discount Framing Task,6,Spreadsheet1,1,Practice Trial,Screen 1,aokijm,2,action,Option 2,24216.29999999999,24199.699999999997,24216.29999999999,24216.29999999999,24199.699999999997,24216.29999999999,1,1133.1000000000058,0.046822894498692376,,Mousetracking,screen,0,screen,Practice Trial,presentbox.jpg,You need to buy 2 of the same product. Which of the following products do you prefer to buy?,$10 (Deal: buy 1 get 1 30% off),$10 (Deal: $3 off),$10 (Deal: 10% off),$10 (Deal: now $8),,,,consent
9,1746992822828,"11/05/2025, 19:47:02",1746974822828,-5,"11/05/2025, 09:47:02",226813,7,task-fsrg,,46069857,13397659,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,2560x1440,2560x1294,,Discount Framing Task,6,Spreadsheet1,1,Practice Trial,Screen 1,aokijm,2,action,Option 3,24216.29999999999,24199.699999999997,24216.29999999999,24216.29999999999,24199.699999999997,24216.29999999999,1,916.8000000000029,0.03788476716653525,,Mousetracking,screen,0,screen,Practice Trial,presentbox.jpg,You need to buy 2 of the same product. Which of the following products do you prefer to buy?,$10 (Deal: buy 1 get 1 30% off),$10 (Deal: $3 off),$10 (Deal: 10% off),$10 (Deal: now $8),,,,consent
10,1746992822828,"11/05/2025, 19:47:02",1746974822828,-5,"11/05/2025, 09:47:02",226813,7,task-fsrg,,46069857,13397659,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,2560x1440,2560x1294,,Discount Framing Task,6,Spreadsheet1,1,Practice Trial,Screen 1,aokijm,2,action,Option 4,24216.29999999999,24199.699999999997,24216.29999999999,24216.29999999999,24199.699999999997,24216.29999999999,1,0,0,,Mousetracking,screen,0,screen,Practice Trial,presentbox.jpg,You need to buy 2 of the same product. Which of the following products do you prefer to buy?,$10 (Deal: buy 1 get 1 30% off),$10 (Deal: $3 off),$10 (Deal: 10% off),$10 (Deal: now $8),,,,consent
