Participant ID,Display,Spreadsheet: Product,Response,Position,Reaction Time,Deal Type,Likely to buy,Confident in choice,Likely to change,Attention Check Response,Why Response
13397659,3 Discounts Main,Tablet Case.png,$25 (Deal: 10% off),Position 1,18598.499999976135,Percentage off,3,1,7,3,"It's all the same, but 10% looks bigger."
13397659,3 Discounts Main,Phone Charger.png,$15 (Deal: 10% off),Position 3,6847.799999976181,Percentage off,1,5,7,3,All the same price so I chose the cheapest
13397659,4 Discounts Main,DSLR Lens.png,$960 (Deal: buy 1 get 1 free),Position 1,13848.70000000007,BOGO,2,5,6,4,It saves more so I can sell the duplicate one
13397659,4 Discounts Main,Sofa.png,$1000 (Deal: $200 off),Position 3,13065.29999997618,Dollar off,2,5,6,4,Too big so I can't store it and sell it.
13397659,2 Discounts Main,Skincare Kit.png,$90 (Deal: 15% off),Position 1,14565.79999996419,Percentage off,5,6,6,2,15 looks bigger though they are all the same
13397659,2 Discounts Main,Blender.png,$70 (Deal: 15% off),Position 2,7696.800000011921,Percentage off,3,6,6,2,all the same but 15 looks bigger
13397665,3 Discounts Main,Phone Stand.png,$10 (Deal: now $9),Position 1,8772.400000011927,Now price,5,6,5,3,The most straighe forward
13397665,4 Discounts Main,Winter Jacket.png,$200 (Deal: $40 off),Position 1,21650.0,Dollar off,6,7,7,4,the cheapest price
13397665,4 Discounts Main,Tablet.png,$640 (Deal: buy 1 get 1 free),Position 2,11176.700000000012,BOGO,5,6,5,4,like free item
13397665,3 Discounts Main,Laptop Sleeve.png,$35 (Deal: 10% off),Position 1,7487.299999988056,Percentage off,5,6,5,3,"same price, choosing the first one"
13397665,2 Discounts Main,Smartwatch.png,$220 (Deal: $22 off),Position 2,9187.700000011944,Dollar off,5,6,5,2,22 sounds greater than 10
13397665,2 Discounts Main,Yoga Mat.png,$20 (Deal: 10% off),Position 2,3371.3000000238535,Percentage off,5,6,5,2,10 sounds greater than 2
13397950,3 Discounts Main,Desk Lamp.png,$40 (Deal: now $36),Position 1,8099.140000000014,Now price,2,7,7,3,it was the best deal
13397950,2 Discounts Main,Digital Camera.png,$750 (Deal: $75 off),Position 2,6203.079999999987,Dollar off,2,7,7,2,"It was the same for both, this is randomly chosen"
13397950,4 Discounts Main,Bluetooth Headphones.png,$150 (Deal: 20% off),Position 3,22024.099999999977,Percentage off,4,7,7,4,All of these answers are the same
13397950,4 Discounts Main,Soundbar.png,$560 (Deal: buy 1 get 1 free),Position 1,13958.400000000023,BOGO,2,7,7,4,all the same again
13397950,3 Discounts Main,Portable Charger.png,$30 (Deal: 10% off),Position 1,7121.619999999995,Percentage off,2,7,7,3,same again
13397950,2 Discounts Main,Hair Dryer.png,$45 (Deal: 10% off),Position 2,3116.920000000042,Percentage off,1,7,7,2,percentages look like more of deal despite them being the same
13398525,2 Discounts Main,Earbuds.png,$80 (Deal: 10% off),Position 1,3870.9000000715314,Percentage off,5,6,7,2,They were the same discount
13398525,3 Discounts Main,Laptop Sleeve.png,$35 (Deal: 10% off),Position 3,11429.299999999988,Percentage off,3,4,4,3,I thought it seemed like the biggest discount (but didn't take the time to do the math)
13398525,3 Discounts Main,Vacuum Cleaner.png,$180 (Deal: now $162),Position 3,8176.8000000476895,Now price,5,5,6,3,Pretty sure they were the same discount
13398525,2 Discounts Main,Skincare Kit.png,$90 (Deal: $13.5 off),Position 2,7421.399999999994,Dollar off,5,5,5,2,I could tell exactly how much was taken off without doing the math
13398525,4 Discounts Main,Microwave Oven.png,$480 (Deal: buy 1 get 1 free),Position 3,4659.90000002383,BOGO,6,6,6,4,"It had a deal for buying more than 1, and I needed 2"
13398525,4 Discounts Main,Office Chair.png,$320 (Deal: buy 1 get 1 free),Position 4,8940.100000071514,BOGO,5,5,2,4,"It had a discount for multiple purchases, and I didn't want to do the math"
13398617,4 Discounts Main,Soundbar.png,$560 (Deal: buy 1 get 1 free),Position 1,7866.700000000012,BOGO,4,7,3,4,"Because ""free"" is attractive"
13398617,3 Discounts Main,Desk Lamp.png,$40 (Deal: 10% off),Position 3,11036.699999928474,Percentage off,7,7,4,3,10% seems greater in proportion
13398617,2 Discounts Main,Smartwatch.png,$220 (Deal: 10% off),Position 1,2576.7000000000116,Percentage off,7,7,3,2,Proportional deduction seems cheaper
13398617,3 Discounts Main,Tablet Case.png,$25 (Deal: 10% off),Position 3,3140.399999952293,Percentage off,7,7,3,3,because $2.5 is a small amount comparing to 10% off
13398617,2 Discounts Main,Electric Toothbrush.png,$60 (Deal: 10% off),Position 1,2281.6999999761465,Percentage off,7,7,7,2,Because proportional deduction seems cheaper
13398617,4 Discounts Main,Office Chair.png,$200 (Deal: $40 off),Position 3,8646.599999904633,Dollar off,7,7,4,4,Because in this case I don't need two chairs and $60 off is a large amount
13401275,4 Discounts Main,Soundbar.png,$350 (Deal: now $280),Position 2,12365.0,Now price,3,4,5,4,Seemed to be the cheaper option
13401275,3 Discounts Main,Portable Charger.png,$30 (Deal: 10% off),Position 3,24565.0,Percentage off,4,4,5,3,Percentages make it seem as though I am saving more even though its the same amount
13401275,2 Discounts Main,Digital Camera.png,$750 (Deal: 10% off),Position 1,4065.099999994039,Percentage off,5,5,5,2,Percentages made me feel like i was saving more
13401275,3 Discounts Main,Laptop Sleeve.png,$35 (Deal: 10% off),Position 3,11232.099999999977,Percentage off,4,4,4,3,percentages made me feel like i was saving more
13401275,4 Discounts Main,Sofa.png,$1000 (Deal: now $800),Position 1,24064.599999982165,Now price,4,4,5,4,seemed like the best deal
13401275,2 Discounts Main,Hair Dryer.png,$45 (Deal: 10% off),Position 1,2980.999999982072,Percentage off,5,4,5,2,seemed like the best deal because of the percentages
13414503,2 Discounts Main,Earbuds.png,$80 (Deal: 10% off),Position 2,27240.399999997753,Percentage off,4,4,7,1,I like percentage.
13414503,3 Discounts Main,Phone Stand.png,$10 (Deal: 10% off),Position 3,5404.699999998498,Percentage off,4,4,7,1,I like percentage.
